epoch,train_loss
1,0.018029
2,0.005756
3,0.004450
4,0.003888
5,0.003537
6,0.003240
7,0.003052
8,0.002885
9,0.002757
10,0.002624
11,0.002536
12,0.002414
13,0.002319
14,0.002225
15,0.002139
16,0.002058
17,0.001994
18,0.001937
19,0.001868
20,0.001809
21,0.001757
22,0.001707
23,0.001674
24,0.001633
25,0.001590
26,0.001551
27,0.001510
28,0.001482
29,0.001443
30,0.001419
31,0.001390
32,0.001359
33,0.001328
34,0.001304
35,0.001288
36,0.001260
37,0.001246
38,0.001220
39,0.001200
40,0.001181
41,0.001163
42,0.001142
43,0.001131
44,0.001114
45,0.001095
46,0.001080
47,0.001070
48,0.001056
49,0.001047
50,0.001030
51,0.001031
52,0.001010
53,0.001000
54,0.000989
55,0.000976
56,0.000971
57,0.000960
58,0.000958
59,0.000938
60,0.000927
61,0.000925
62,0.000916
63,0.000904
64,0.000907
65,0.000895
66,0.000885
67,0.000880
68,0.000871
69,0.000867
70,0.000861
71,0.000852
72,0.000849
73,0.000841
74,0.000836
75,0.000827
76,0.000826
77,0.000821
78,0.000819
79,0.000811
80,0.000803
81,0.000798
82,0.000792
83,0.000791
84,0.000789
85,0.000781
86,0.000779
87,0.000771
88,0.000768
89,0.000771
90,0.000756
91,0.000753
92,0.000751
93,0.000749
94,0.000745
95,0.000749
96,0.000742
97,0.000734
98,0.000732
99,0.000722
100,0.000721
