epoch,train_loss
1,0.017751
2,0.006627
3,0.004372
4,0.003838
5,0.003446
6,0.003194
7,0.003004
8,0.002856
9,0.002699
10,0.002588
11,0.002472
12,0.002379
13,0.002294
14,0.002203
15,0.002136
16,0.002065
17,0.001980
18,0.001940
19,0.001894
20,0.001831
21,0.001774
22,0.001722
23,0.001685
24,0.001647
25,0.001599
26,0.001559
27,0.001521
28,0.001491
29,0.001467
30,0.001434
31,0.001405
32,0.001378
33,0.001352
34,0.001323
35,0.001306
36,0.001285
37,0.001271
38,0.001247
39,0.001221
40,0.001207
41,0.001189
42,0.001167
43,0.001157
44,0.001142
45,0.001126
46,0.001112
47,0.001092
48,0.001083
49,0.001062
50,0.001059
51,0.001046
52,0.001031
53,0.001021
54,0.001005
55,0.000997
56,0.000989
57,0.000984
58,0.000971
59,0.000962
60,0.000962
61,0.000942
62,0.000934
63,0.000924
64,0.000927
65,0.000915
66,0.000907
67,0.000899
68,0.000888
69,0.000886
70,0.000879
71,0.000876
72,0.000866
73,0.000863
74,0.000848
75,0.000851
76,0.000842
77,0.000838
78,0.000833
79,0.000830
80,0.000826
81,0.000815
82,0.000812
83,0.000808
84,0.000806
85,0.000798
86,0.000790
87,0.000791
88,0.000781
89,0.000786
90,0.000777
91,0.000771
92,0.000768
93,0.000765
94,0.000759
95,0.000757
96,0.000755
97,0.000753
98,0.000750
99,0.000737
100,0.000741
